FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
,,,,,,,,,,Sh2d4a,,,,Adam23,,,
,,,,,,,,,,Ctps2,,,,Rmnd1,,,
,,,,,,,,,,Tent5c,,,,Gabarapl2,,,
,,,,,,,,,,Zfp263,,,,Slco2a1,,,
,,,,,,,,,,Ttc8,,,,Senp5,,,
,,,,,,,,,,Elmo2,,,,Txlng,,,
,,,,,,,,,,Gpatch2l,,,,F2r,,,
,,,,,,,,,,Extl2,,,,Eya3,,,
,,,,,,,,,,Bcl7a,,,,Gnl3,,,
,,,,,,,,,,Fras1,,,,Pros1,,,
,,,,,,,,,,Tceanc2,,,,Fbxl3,,,
,,,,,,,,,,Armc10,,,,1110004F10Rik,,,
,,,,,,,,,,Zfp622,,,,Med23,,,
,,,,,,,,,,4632427E13Rik,,,,Rala,,,
,,,,,,,,,,Commd2,,,,Ormdl2,,,
,,,,,,,,,,Ezh2,,,,Rbm17,,,
,,,,,,,,,,Ndufaf7,,,,Ndrg3,,,
,,,,,,,,,,Rad50,,,,Gdap2,,,
,,,,,,,,,,Epm2a,,,,Copg2,,,
,,,,,,,,,,Polr1b,,,,Mapk8,,,
,,,,,,,,,,Vta1,,,,Parp16,,,
,,,,,,,,,,Stard3nl,,,,Cox20,,,
,,,,,,,,,,Ddx28,,,,Pitrm1,,,
,,,,,,,,,,Rwdd3,,,,Wdr43,,,
,,,,,,,,,,Trmt11,,,,Etv6,,,
,,,,,,,,,,Phf6,,,,Apoo,,,
,,,,,,,,,,Rbm45,,,,Sugct,,,
,,,,,,,,,,Rhpn2,,,,Dcaf6,,,
,,,,,,,,,,Abl2,,,,Slc12a2,,,
,,,,,,,,,,Taco1,,,,R3hdm2,,,
,,,,,,,,,,Sp140,,,,Ptpn12,,,
,,,,,,,,,,Pla2r1,,,,Msi2,,,
,,,,,,,,,,Gkap1,,,,Ppat,,,
,,,,,,,,,,Cetn2,,,,Ola1,,,
,,,,,,,,,,Zscan12,,,,Emc1,,,
,,,,,,,,,,Slc39a10,,,,Igtp,,,
,,,,,,,,,,Socs6,,,,Map7,,,
,,,,,,,,,,Tox,,,,Tbl1x,,,
,,,,,,,,,,Stk38l,,,,Phkb,,,
,,,,,,,,,,Nipsnap2,,,,Zfp68,,,
,,,,,,,,,,Mrto4,,,,Ndufc1,,,
,,,,,,,,,,Rell1,,,,Dhrs7,,,
,,,,,,,,,,Grk5,,,,Ank3,,,
,,,,,,,,,,Fxn,,,,Spast,,,
,,,,,,,,,,Steap2,,,,Uchl3,,,
,,,,,,,,,,Cyyr1,,,,Atf7ip,,,
,,,,,,,,,,Aasdh,,,,Snu13,,,
,,,,,,,,,,Gtdc1,,,,Mtmr10,,,
,,,,,,,,,,Bmp10,,,,Arhgap21,,,
,,,,,,,,,,Tfcp2l1,,,,Scpep1,,,
,,,,,,,,,,Ap4e1,,,,Cstb,,,
,,,,,,,,,,Slx4ip,,,,Fam13a,,,
,,,,,,,,,,Eps8,,,,Psmd14,,,
,,,,,,,,,,Cdc42se2,,,,Rnf111,,,
,,,,,,,,,,Elp1,,,,Rraga,,,
,,,,,,,,,,Pigv,,,,Ccdc93,,,
,,,,,,,,,,Bach2,,,,Nfat5,,,
,,,,,,,,,,E2f6,,,,Phaf1,,,
,,,,,,,,,,Gm19619,,,,Kcmf1,,,
,,,,,,,,,,Mfsd6,,,,Ago1,,,
,,,,,,,,,,Wipf1,,,,1810013L24Rik,,,
,,,,,,,,,,Shroom3,,,,Wbp11,,,
,,,,,,,,,,Ccng2,,,,Ss18l2,,,
,,,,,,,,,,Sh3yl1,,,,Atic,,,
,,,,,,,,,,Bud13,,,,Asah2,,,
,,,,,,,,,,Gmcl1,,,,H2-Aa,,,
,,,,,,,,,,Cd44,,,,Inpp5f,,,
,,,,,,,,,,Hnrnph3,,,,Tmem260,,,
,,,,,,,,,,Ppp1r12b,,,,Ostm1,,,
,,,,,,,,,,Zfp53,,,,Lias,,,
,,,,,,,,,,Fer,,,,Phf14,,,
,,,,,,,,,,Ccdc181,,,,Ankrd33b,,,
,,,,,,,,,,Lsm8,,,,Tomm5,,,
,,,,,,,,,,Tma16,,,,Pan2,,,
,,,,,,,,,,Atmin,,,,Abraxas2,,,
,,,,,,,,,,Usp21,,,,Pyurf,,,
,,,,,,,,,,Rabgef1,,,,Wdr11,,,
,,,,,,,,,,Slc35a2,,,,Dock9,,,
,,,,,,,,,,Cep104,,,,Rexo2,,,
,,,,,,,,,,Stk3,,,,Peli2,,,
,,,,,,,,,,Tmem220,,,,Taf15,,,
,,,,,,,,,,H2-Q1,,,,Klhl12,,,
,,,,,,,,,,Snhg17,,,,Xpo4,,,
,,,,,,,,,,Glb1,,,,Plk3,,,
,,,,,,,,,,Proser2,,,,Vps13a,,,
,,,,,,,,,,Slc30a6,,,,Dnajc10,,,
,,,,,,,,,,Tnfaip3,,,,Tasor2,,,
,,,,,,,,,,Nkap,,,,Rragc,,,
,,,,,,,,,,Surf2,,,,Chfr,,,
,,,,,,,,,,Unkl,,,,Lrrc8a,,,
,,,,,,,,,,Arl14ep,,,,Ttc23,,,
,,,,,,,,,,Pprc1,,,,Clasp2,,,
,,,,,,,,,,Parp11,,,,Chchd1,,,
,,,,,,,,,,Amot,,,,Ppp1r10,,,
,,,,,,,,,,Fzd8,,,,Fbxo38,,,
,,,,,,,,,,Mtmr7,,,,Atxn7,,,
,,,,,,,,,,Rrm2b,,,,Phlda1,,,
,,,,,,,,,,Rdh13,,,,Slc17a1,,,
,,,,,,,,,,Rbbp8,,,,Dennd5a,,,
,,,,,,,,,,Dcbld2,,,,Znrf3,,,
,,,,,,,,,,Zfp81,,,,Pkp2,,,
,,,,,,,,,,Ggps1,,,,Dmd,,,
,,,,,,,,,,Ccdc71l,,,,Dnajc14,,,
,,,,,,,,,,Eef1aknmt,,,,Tmem38b,,,
,,,,,,,,,,C630043F03Rik,,,,Arl6ip5,,,
,,,,,,,,,,Pop1,,,,Edrf1,,,
,,,,,,,,,,Ric8b,,,,Uba6,,,
,,,,,,,,,,Kctd18,,,,Actr10,,,
,,,,,,,,,,Lhfp,,,,Scamp1,,,
,,,,,,,,,,Nt5dc3,,,,Fastkd1,,,
,,,,,,,,,,Acvr1,,,,Cnot4,,,
,,,,,,,,,,Ralb,,,,Ap4b1,,,
,,,,,,,,,,Ppp4r1l-ps,,,,Ets2,,,
,,,,,,,,,,Vmn1r81,,,,Hnrnpll,,,
,,,,,,,,,,Sult1e1,,,,Gtpbp8,,,
,,,,,,,,,,Kti12,,,,Rbbp5,,,
,,,,,,,,,,Smo,,,,Bace1,,,
,,,,,,,,,,Snx6,,,,Jmy,,,
,,,,,,,,,,Sipa1l3,,,,Add3,,,
,,,,,,,,,,Leo1,,,,Rbm5,,,
,,,,,,,,,,Gpsm2,,,,Sumf1,,,
,,,,,,,,,,Hspa1b,,,,Nol7,,,
,,,,,,,,,,Ippk,,,,Zfp317,,,
,,,,,,,,,,Large1,,,,Polr1d,,,
,,,,,,,,,,Gm14288,,,,Zbtb33,,,
,,,,,,,,,,Irak4,,,,Chordc1,,,
,,,,,,,,,,Borcs7,,,,Qser1,,,
,,,,,,,,,,Dclre1c,,,,Csnk1g3,,,
,,,,,,,,,,Piezo2,,,,Rbm22,,,
,,,,,,,,,,5430416N02Rik,,,,Rab9,,,
,,,,,,,,,,Mtbp,,,,Nek4,,,
,,,,,,,,,,Kat8,,,,Pik3c3,,,
,,,,,,,,,,Birc3,,,,1110032A03Rik,,,
,,,,,,,,,,Trim21,,,,Glrx2,,,
,,,,,,,,,,Ednrb,,,,Pak2,,,
,,,,,,,,,,Bicc1,,,,Ralbp1,,,
,,,,,,,,,,Gm16551,,,,Supt16,,,
,,,,,,,,,,Xrcc4,,,,Ubfd1,,,
,,,,,,,,,,Mphosph10,,,,Pla1a,,,
,,,,,,,,,,Il17rb,,,,Hmgn1,,,
,,,,,,,,,,Efemp1,,,,Prpf18,,,
,,,,,,,,,,Znhit3,,,,0610031O16Rik,,,
,,,,,,,,,,Blvra,,,,Rpe,,,
,,,,,,,,,,Reps1,,,,C1d,,,
,,,,,,,,,,Thnsl1,,,,Adam10,,,
,,,,,,,,,,Nup37,,,,Gdi1,,,
,,,,,,,,,,Taf8,,,,Map3k1,,,
,,,,,,,,,,Pold3,,,,Ppp1cc,,,
,,,,,,,,,,Smg8,,,,Babam2,,,
,,,,,,,,,,Pim1,,,,Gfm2,,,
,,,,,,,,,,Zfp330,,,,Tra2b,,,
,,,,,,,,,,Bin3,,,,Mef2a,,,
,,,,,,,,,,Aig1,,,,Zkscan7,,,
,,,,,,,,,,Cdk5rap2,,,,Pik3r4,,,
,,,,,,,,,,Ctbs,,,,Gpkow,,,
,,,,,,,,,,Eid1,,,,Clk3,,,
,,,,,,,,,,Nfya,,,,Mzt1,,,
,,,,,,,,,,Pyroxd1,,,,Elmod2,,,
,,,,,,,,,,Fcer1g,,,,Ngly1,,,
,,,,,,,,,,Cpeb3,,,,Gosr1,,,
,,,,,,,,,,Anapc10,,,,Hnrnpd,,,
,,,,,,,,,,Cebpb,,,,Ythdf1,,,
,,,,,,,,,,Cd300lg,,,,Brd7,,,
,,,,,,,,,,Zfp943,,,,Ppp2r2d,,,
,,,,,,,,,,Btbd3,,,,Creb1,,,
,,,,,,,,,,Eif4e3,,,,Dnajc8,,,
,,,,,,,,,,Fuca2,,,,Las1l,,,
,,,,,,,,,,Fbln5,,,,Ugcg,,,
,,,,,,,,,,Gm10778,,,,Cdk17,,,
,,,,,,,,,,St7,,,,Abcg5,,,
,,,,,,,,,,Kctd21,,,,Rnd3,,,
,,,,,,,,,,Sms,,,,Irgm2,,,
,,,,,,,,,,Tmem209,,,,Tstd2,,,
,,,,,,,,,,Bbip1,,,,Ss18,,,
,,,,,,,,,,Dtd1,,,,Stim2,,,
,,,,,,,,,,Dsg1c,,,,Nmi,,,
,,,,,,,,,,Gins4,,,,N4bp2l1,,,
,,,,,,,,,,Akap12,,,,Pa2g4,,,
,,,,,,,,,,Slc43a1,,,,Strn,,,
,,,,,,,,,,Trnau1ap,,,,Ermard,,,
,,,,,,,,,,Zfp398,,,,Gtpbp4,,,
,,,,,,,,,,Zdhhc17,,,,Yes1,,,
,,,,,,,,,,Btrc,,,,Cyp39a1,,,
,,,,,,,,,,Tle4,,,,Ston2,,,
,,,,,,,,,,Glt28d2,,,,Ndufc2,,,
,,,,,,,,,,Tgtp2,,,,Uri1,,,
,,,,,,,,,,Qpctl,,,,Plscr2,,,
,,,,,,,,,,Coa8,,,,Snx7,,,
,,,,,,,,,,Abcd4,,,,Ppp2cb,,,
,,,,,,,,,,D130020L05Rik,,,,Kras,,,
,,,,,,,,,,Scoc,,,,Htatsf1,,,
,,,,,,,,,,Fam172a,,,,Ift52,,,
,,,,,,,,,,1700001L05Rik,,,,Golga5,,,
,,,,,,,,,,Dguok,,,,Nt5c3,,,
,,,,,,,,,,Lrig3,,,,Samhd1,,,
,,,,,,,,,,Gm12250,,,,Cnppd1,,,
,,,,,,,,,,Hspa14,,,,Ranbp9,,,
,,,,,,,,,,Fn3krp,,,,Hivep2,,,
,,,,,,,,,,Ube2d1,,,,Dleu2,,,
,,,,,,,,,,2210408I21Rik,,,,Fmr1,,,
,,,,,,,,,,Mrpl36,,,,Prr16,,,
,,,,,,,,,,Srsf9,,,,Fubp1,,,
,,,,,,,,,,Mrps10,,,,Irf6,,,
,,,,,,,,,,Zfp329,,,,Mcur1,,,
,,,,,,,,,,Smug1,,,,Ppp2r3a,,,
,,,,,,,,,,Senp7,,,,Nras,,,
,,,,,,,,,,Polb,,,,Ap3b1,,,
,,,,,,,,,,Lrrc8c,,,,Fndc3b,,,
,,,,,,,,,,Klf7,,,,Rbm18,,,
,,,,,,,,,,Pigp,,,,Dnajc15,,,
,,,,,,,,,,Zfp955a,,,,Riok2,,,
,,,,,,,,,,Zfp65,,,,Mtmr1,,,
,,,,,,,,,,Zfp874b,,,,Rras2,,,
,,,,,,,,,,Exosc3,,,,Smc6,,,
,,,,,,,,,,Taf5,,,,Phykpl,,,
,,,,,,,,,,Lrrc57,,,,Zfp62,,,
,,,,,,,,,,Fkrp,,,,Trib1,,,
,,,,,,,,,,Mtx3,,,,Ifnar2,,,
,,,,,,,,,,Tiprl,,,,Ube2q1,,,
,,,,,,,,,,Wdr73,,,,Aebp2,,,
,,,,,,,,,,Fam204a,,,,Adamts1,,,
,,,,,,,,,,Tlr5,,,,Ndel1,,,
,,,,,,,,,,Med4,,,,Arpc1a,,,
,,,,,,,,,,Ankrd26,,,,B4galt1,,,
,,,,,,,,,,Dennd2a,,,,Zeb1,,,
,,,,,,,,,,Cdk14,,,,Tgfbr3,,,
,,,,,,,,,,Golph3l,,,,Scyl2,,,
,,,,,,,,,,Styx,,,,Zfx,,,
,,,,,,,,,,Enox2,,,,Nln,,,
,,,,,,,,,,Chmp4c,,,,Rnf19a,,,
,,,,,,,,,,Slc35b3,,,,Asb13,,,
,,,,,,,,,,Fam185a,,,,Nom1,,,
,,,,,,,,,,Fancl,,,,Micos10,,,
,,,,,,,,,,Sppl3,,,,Pggt1b,,,
,,,,,,,,,,Tbc1d31,,,,Prkag2,,,
,,,,,,,,,,Usp31,,,,Atrnl1,,,
,,,,,,,,,,Ccdc157,,,,Prpf39,,,
,,,,,,,,,,Med28,,,,Mdn1,,,
,,,,,,,,,,Vangl1,,,,Otud5,,,
,,,,,,,,,,Usp42,,,,Rab11a,,,
,,,,,,,,,,Poglut1,,,,Msl3,,,
,,,,,,,,,,Emd,,,,Igfbp3,,,
,,,,,,,,,,Olfr1307,,,,Rab3gap1,,,
,,,,,,,,,,Nphp3,,,,Rwdd1,,,
,,,,,,,,,,Vrk1,,,,Zfp518a,,,
,,,,,,,,,,Dars2,,,,Fcf1,,,
,,,,,,,,,,Mitf,,,,Slc37a3,,,
,,,,,,,,,,Tagap1,,,,Magi3,,,
,,,,,,,,,,Zmat3,,,,Herc6,,,
,,,,,,,,,,Phtf1,,,,Erlin2,,,
,,,,,,,,,,Anks3,,,,Inpp4a,,,
,,,,,,,,,,Cnot11,,,,Tsr1,,,
,,,,,,,,,,Mtrf1,,,,Plxnc1,,,
,,,,,,,,,,Upf3b,,,,Gng12,,,
,,,,,,,,,,Surf6,,,,Rnf169,,,
,,,,,,,,,,Peg3,,,,Taf2,,,
,,,,,,,,,,Ndc1,,,,Dock5,,,
,,,,,,,,,,Stimate,,,,Abhd6,,,
,,,,,,,,,,Chsy1,,,,Usp12,,,
,,,,,,,,,,Zfp704,,,,Polr3b,,,
,,,,,,,,,,Wdr37,,,,Zfp874a,,,
,,,,,,,,,,Abca5,,,,Cdkal1,,,
,,,,,,,,,,Zfp111,,,,Stxbp3,,,
,,,,,,,,,,Dcbld1,,,,Wdr33,,,
,,,,,,,,,,Gng11,,,,Fam120b,,,
,,,,,,,,,,Ap4s1,,,,Stbd1,,,
,,,,,,,,,,Soat1,,,,Smpdl3a,,,
,,,,,,,,,,Tmem199,,,,Xrcc5,,,
,,,,,,,,,,Zmynd19,,,,Ccdc6,,,
,,,,,,,,,,Tyms,,,,Smg7,,,
,,,,,,,,,,H2-Eb1,,,,Timp3,,,
,,,,,,,,,,Vps45,,,,Commd6,,,
,,,,,,,,,,2700062C07Rik,,,,Nxpe2,,,
,,,,,,,,,,Mplkip,,,,Nipa2,,,
,,,,,,,,,,Abcg1,,,,Bivm,,,
,,,,,,,,,,5730480H06Rik,,,,Smg6,,,
,,,,,,,,,,Ppm1d,,,,Grb2,,,
,,,,,,,,,,Wdr12,,,,Grpel2,,,
,,,,,,,,,,Elp4,,,,Rab32,,,
,,,,,,,,,,Gas1,,,,Hprt,,,
,,,,,,,,,,Lig4,,,,Iws1,,,
,,,,,,,,,,Zfp120,,,,Fkbp9,,,
,,,,,,,,,,Kbtbd8,,,,Uvrag,,,
,,,,,,,,,,Noc3l,,,,Zwint,,,
,,,,,,,,,,Loxl2,,,,Lgmn,,,
,,,,,,,,,,Tmem43,,,,Mysm1,,,
,,,,,,,,,,Cdc23,,,,Smc3,,,
,,,,,,,,,,Gemin2,,,,Arhgap31,,,
,,,,,,,,,,Ss18l1,,,,Ubap1,,,
,,,,,,,,,,Cox11,,,,Golga7,,,
,,,,,,,,,,Tmem177,,,,Mms19,,,
,,,,,,,,,,Gnb4,,,,Gtf2a1,,,
,,,,,,,,,,Tbc1d12,,,,Prdm2,,,
,,,,,,,,,,Champ1,,,,Bod1l,,,
,,,,,,,,,,Zfyve27,,,,Vps54,,,
,,,,,,,,,,Epha7,,,,Ufsp2,,,
,,,,,,,,,,Robo1,,,,Plpbp,,,
,,,,,,,,,,Inpp1,,,,Abcg2,,,
,,,,,,,,,,Nme7,,,,Pkhd1,,,
,,,,,,,,,,Rufy2,,,,Fam3c,,,
,,,,,,,,,,,,,,Phka2,,,
,,,,,,,,,,,,,,Mtmr3,,,
,,,,,,,,,,,,,,Pus10,,,
,,,,,,,,,,,,,,Dyrk2,,,
,,,,,,,,,,,,,,Rapgef6,,,
,,,,,,,,,,,,,,Rnf181,,,
,,,,,,,,,,,,,,Gpalpp1,,,
,,,,,,,,,,,,,,Blmh,,,
,,,,,,,,,,,,,,Luc7l,,,
,,,,,,,,,,,,,,Rdh14,,,
,,,,,,,,,,,,,,Mrps22,,,
,,,,,,,,,,,,,,Mrps30,,,
,,,,,,,,,,,,,,Ip6k2,,,
,,,,,,,,,,,,,,Rbbp7,,,
,,,,,,,,,,,,,,Paox,,,
,,,,,,,,,,,,,,Dcun1d5,,,
,,,,,,,,,,,,,,Mfn1,,,
,,,,,,,,,,,,,,Dab2,,,
,,,,,,,,,,,,,,Nmd3,,,
,,,,,,,,,,,,,,Gtf3c3,,,
,,,,,,,,,,,,,,Abhd5,,,
,,,,,,,,,,,,,,Thap2,,,
,,,,,,,,,,,,,,Luzp1,,,
,,,,,,,,,,,,,,Klf10,,,
,,,,,,,,,,,,,,Gda,,,
,,,,,,,,,,,,,,Med14,,,
,,,,,,,,,,,,,,Topors,,,
,,,,,,,,,,,,,,Smap1,,,
,,,,,,,,,,,,,,Akr1e1,,,
,,,,,,,,,,,,,,Ensa,,,
,,,,,,,,,,,,,,Minpp1,,,
,,,,,,,,,,,,,,Bcas3,,,
,,,,,,,,,,,,,,Atg16l1,,,
,,,,,,,,,,,,,,Arid2,,,
,,,,,,,,,,,,,,Vti1b,,,
,,,,,,,,,,,,,,Peak1,,,
,,,,,,,,,,,,,,Dnttip2,,,
,,,,,,,,,,,,,,Tpk1,,,
,,,,,,,,,,,,,,Pcna,,,
,,,,,,,,,,,,,,Phf20l1,,,
,,,,,,,,,,,,,,Ido2,,,
,,,,,,,,,,,,,,Rab12,,,
,,,,,,,,,,,,,,Ezh1,,,
,,,,,,,,,,,,,,Tmem127,,,
,,,,,,,,,,,,,,Tmem41b,,,
,,,,,,,,,,,,,,Invs,,,
,,,,,,,,,,,,,,Bcas2,,,
,,,,,,,,,,,,,,Wdr3,,,
,,,,,,,,,,,,,,Utp20,,,
,,,,,,,,,,,,,,Cbx5,,,
,,,,,,,,,,,,,,Mrps17,,,
,,,,,,,,,,,,,,Ndufaf1,,,
