FLT_cluster_01,FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,FLT_cluster_15,GC_cluster_01,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Stag1,Katna1,Klf17,Rhof,Rbm8a,Acot11,Prokr2,Tcta,Vav3,Tcea1,,,,,,Ly6g6c,St6galnac3,Senp3,Cbfa2t2,Lipg,Wdr83,6430562O15Rik,Eef1akmt1,Actr3,Olfr1396,,,,
Tomm7,Mbtps2,Gm6592,Lif,Extl3,Zfp454,Gk5,Phf12,Fst,Nrp1,,,,,,Jag2,Pck2,Tusc2,Snrpa1,Snw1,Ssh3,Dlgap5,Nnmt,Atp5mpl,Rtl4,,,,
Ralgps2,Ptpn2,ENSMUSG00000028259,Vmn2r65,Rad23a,Map3k14,Gfpt2,Cox10,Vmn2r24,Morf4l2,,,,,,Gm5547,Plat,Stk24,Cyb5rl,Commd8,Wdr53,Neurl2,Prkn,Ptbp3,Selenok-ps1,,,,
Maf,Mettl3,Olfr959,Bcl2l15,Slc9a3r1,Tcf21,AA465934,Rbp1,Csf2rb2,Gigyf2,,,,,,Ltf,Cd40,Vps35l,Bmt2,Sesn3,Nosip,Dab1,Ctnnal1,Clock,Klri2,,,,
Rnf146,Zfp965,ENSMUSG00000030092,Mxd3,Gbf1,Dkk3,9430091E24Rik,Aen,Top2a,Psmb7,,,,,,Gm10638,E530011L22Rik,Pigs,Ttl,Atf2,Plekhm2,Pcdhgb8,Trmt5,Nipbl,Vmn2r93,,,,
Ddhd1,Pop4,Pcdhb15,Col22a1,Sptbn2,Zbtb32,Taf9b,Ercc3,Zfp472,N4bp2,,,,,,Gad2,Eid2b,Surf1,Taf6,Vkorc1l1,Rrp9,Sh3gl2,Fyb,Tacc1,Plcd4,,,,
Tmem123,Cyp3a59,Olfr641,1700007J10Rik,Ppdpf,Cks1b,Rwdd2a,BC005624,Zc2hc1a,Dmxl1,,,,,,Ctla4,Fermt1,Rnf220,Supt7l,Dcaf13,F8a,Gpr171,Plcb4,Gnai3,A930024E05Rik,,,,
Garre1,Cmtr2,Fzd2,Peg12,Actn4,Fbxl8,C330022C24Rik,Mrpl52,Zfp764,Rc3h1,,,,,,Miat,Olfm1,Wwc2,Cldnd1,Rabgap1,Rab40c,Ccdc160,Rab23,Dpp4,4921511C10Rik,,,,
Cep20,Stard8,4930431P03Rik,Platr9,Tbc1d16,Ahi1,Spa17,Nudt3,Stox2,Acsm5,,,,,,Zic5,Six5,Ciapin1,Arhgap18,Baz2a,Cabyr,Ppm1j,E2f5,Cops5,Ptger3,,,,
Rbpj,Pigx,Tspo2,Cntnap5a,H1f2,Gmpr,Olfr1178,Hes6,C1qtnf7,Sh3bgrl,,,,,,Tenm2,Raet1e,Srgap2,Terf2ip,Nup88,Atat1,Mmp23,Lins1,Znrf2,Olfr410,,,,
Tmem184c,Cdkn2aip,Slc22a12,Ms4a5,St3gal1,Nos3,Gm14308,Hdhd5,C920006O11Rik,Lcp1,,,,,,ENSMUSG00000019803,Armc6,Gmppa,Tdp2,Fastkd2,Etv5,Deup1,2610037D02Rik,Pex19,9330159F19Rik,,,,
Zzz3,2210408F21Rik,ENSMUSG00000042514,Olfr1162,Flii,Sfxn3,Rasgrf1,Fam53b,Nat8f4,Rab5b,,,,,,Trpc5,Olfr1116,Oit3,Psmg1,Gtf2h1,Trip10,Sfn,Zfp182,Capza2,Vmn1r73,,,,
Tmx1,Osmr,Kremen2,Foxg1,Bmp1,Golm1,Olfr1341,Mef2d,Zfp354b,Parva,,,,,,Slc23a3,3110045C21Rik,Efna1,Mdc1,Dek,Usp20,Fosb,Zfp974,Cox7b,Olfr346,,,,
Tlcd1,Zmym3,Snord70,Prrt3,Mrpl10,Rgs8,Olfr1269,Itga5,Fkbp7,Ccser2,,,,,,Otog,Pde4a,Mrpl21,Apip,Zmym5,Selenon,R3hdml,Thap6,Snx5,Mamstr,,,,
Rbx1,Gmpr2,Pou1f1,Lrfn5,Acin1,Tmem253,Gabrb3,Plxna1,Kcnt2,Ep300,,,,,,2010109A12Rik,Ccdc14,Vgll4,Zfp189,Pitpnc1,Rbm19,Tcaf2,Fmn1,Psma3,Vmn1r230,,,,
Eva1a,Nicn1,Zfp42,Mir5125,Blvrb,H2-Q2,Txk,Plod3,Pim2,Uso1,,,,,,Hoxa7,Cib2,Syngr2,Tpst1,Mrpl51,Scamp4,Spsb4,2700097O09Rik,Luc7l2,4930478L05Rik,,,,
Epb41l5,Zbp1,Nek10,Gna15,Oplah,Lsm11,Fancb,Fbl,Spag1,Rbm25,,,,,,Jph2,Zfp551,Szt2,Lbr,Stk38,Igf1r,Ripply1,Stk17b,Hnrnpab,Katnal2,,,,
Rsbn1l,Snapc5,H2ac12,Catspere2,Slc3a2,Nexn,Veph1,Mllt6,Micu3,Grsf1,,,,,,Tac4,Usp11,Tgfbr2,Taf13,Nrip1,Tnfrsf19,Map4k1,Hsd3b5,Nectin3,Gm5464,,,,
Fto,Pwp1,Plppr4,Glt8d2,Psmc3,Il27ra,Olfr1152,Pnkp,Gm13544,Cds2,,,,,,Elfn1,Fam227a,Sgta,Gbp9,Metap1d,Abhd1,Tubb1,Map3k12,Nr1h4,Gm10791,,,,
Tead1,Zxdb,Zfp998,1700066B19Rik,Lmna,Evi5l,Slc51a,Akt1s1,E330011O21Rik,Spag9,,,,,,ENSMUSG00000063314,Olfr943,Phf8,Rhobtb2,Tpm4,Zfp346,Klra4,Ntn4,Atp6v1a,Olfr1383,,,,
Plekhb1,Serpinb8,Ccdc103,Wnk4,Cyth1,Trib3,Olfr1383,Exosc10,Etohd2,Usp15,,,,,,Kcnh1,Tmcc2,Ankrd50,Lpl,Ufl1,Thra,Tonsl,Per3,Dnajb6,Cabp4,,,,
Fas,Vrk2,Eya1,4930413F20Rik,Exoc7,Hspa12a,Ppp1r42,Gigyf1,Ptger2,Herc1,,,,,,Tbr1,Adcy5,Zkscan17,Mettl8,Rsl1d1,Snapc2,Speer9-ps1,Ybey,Stard4,Spata19,,,,
Prep,Tax1bp3,Nron,A430088P11Rik,Hcfc1,Ift122,Olfr351,Ttc4,Zfp937,Itch,,,,,,Bcas3os2,Arid5a,Acsf3,Slc26a2,Slc25a37,Abtb2,Clip3,Il16,Prr14l,V1ra8,,,,
Ap3s2,Vamp3,ENSMUSG00000053395,Tnfsf13b,Yif1a,Gm3435,Zan,Rmnd5b,Ugt1a10,Pde3b,,,,,,Gm17359,Ralgds,Lrrk1,Ticam1,Nup98,Pgm5,Cd300ld3,Lrp12,Tob1,Olfr93,,,,
Nap1l4,Stambp,ENSMUSG00000059246,Rhox8,Gna12,Sh3tc2,3000002C10Rik,Tmem184b,Snora68,Jade1,,,,,,Mab21l1,Scara3,Fam193a,Pla2g15,Abcb10,Gps2,Xlr3b,Lyve1,Trim44,Olfr290,,,,
Flt1,Lama2,Calcr,Esp6,Ppp5c,Mmp2,Dnah11,Tinagl1,Gabbr1,Parp9,,,,,,Snord37,Galns,Acy1,Lnx2,Mterf3,Stk11ip,Pimreg,Camk1d,Rad23b,Gm10782,,,,
Ddx58,Tm4sf1,ENSMUSG00000117602,Sox11,Edf1,Mpp4,Rundc3b,Timm10,Tfec,Pum2,,,,,,Dytn,Zmynd15,Vps9d1,Nhp2,Irf9,Mcm3,Fam221b,Meis2,Ppm1a,Olfr596,,,,
Kpna6,Cdan1,Dppa2,Olfr906,Ptbp1,Rragd,Gzma,Mrpl4,Ly6a,Pkn2,,,,,,Clca3a2,Dnm3os,Jkamp,2210016L21Rik,Cul4b,Ttyh3,Foxm1,D030056L22Rik,Nme2,Chst11,,,,
Pde8a,Zkscan8,Mup5,Olfr370,Dnmbp,Ptpn13,Fgf11,Josd2,Fabp7,Slc44a1,,,,,,Cacna1g,Zfp429,N4bp1,Ifi47,Igsf11,Med9,Vmn1r78,Ndufaf5,Bclaf1,Hecw1,,,,
AI987944,Rpap3,Ano9,Olfr578,Pex5,Them6,Lrrc1,Nudt1,Myzap,Ddx6,,,,,,ENSMUSG00000048216,Creb5,Snf8,Tmem68,Limd1,Castor2,Ribc1,Cep95,Slc16a12,Olfr267,,,,
Ppp2r2a,Fign,Tbx4,3110009F21Rik,Man2b2,Plod2,Olfr596,Adsl,Arhgap19,Abce1,,,,,,ENSMUSG00000100759,Myo5a,Atp6v0a1,Brca2,Mrpl30,Sh3rf1,9930012K11Rik,Morc4,Hibch,Hoxa3,,,,
Smim15,Plekha1,ENSMUSG00000074627,Pheta2,Znfx1,Ulk3,Macroh2a2,Rexo1,Tmc7,Alkbh5,,,,,,Olfr837,Nlgn1,Utp3,Nif3l1,Erg28,Gemin6,4930513N10Rik,Zmym1,Wdr26,Creg2,,,,
Khnyn,Zbtb5,Olfr1392,Olfr1173,Echdc2,Arl10,Kbtbd11,Sh3gl1,Nat1,Neat1,,,,,,Cfap157,Snn,Elp2,Mknk1,Sbf2,Igsf10,Peg10,Thbd,Sec16b,Olfr1265,,,,
Srxn1,Cfap36,Ctnna2,Slitrk4,Septin11,Hps6,4930525G20Rik,Mrps28,4732471J01Rik,Slc25a16,,,,,,Myl3,H2bc3,Pcsk5,Nelfa,Tmem97,Zdhhc12,H2bc14,Gm4952,Tmem14c,Fbn2,,,,
Crebl2,Fbxo42,Dusp9,Tomm6os,Notch1,Vsig10,Zfp850,Ppp1r9b,Acta2,Abcb7,,,,,,Serpina1f,Bub1b,Gart,Sirt1,Zc3h7a,Rps4l,Mmp7,Spata5,Nqo2,Olfr73,,,,
Galnt4,Ascc1,Olfr622,Prss12,Smoc1,Afap1l1,Pask,Urad,2810403D21Rik,Cct8,,,,,,Gm973,Tbcc,Lsg1,Hps5,Atp1b1,Mustn1,Meis3,Rpl10,Dst,Casc1,,,,
Cyld,Znhit6,Aire,3110015C05Rik,Klf15,Nhej1,Ly6h,Oaz2,5830417I10Rik,Cct6a,,,,,,Chl1,Lpar2,Fgfr3,Cep57,Nup50,Wdpcp,H2bc11,Ccdc88a,Acsm3,Zfp184,,,,
Mindy3,Armh3,Wdr20rt,B3galt4,Hipk2,Fam241b,Asb18,Rbfa,2610507I01Rik,Rmdn2,,,,,,Olfr518,Abi3,Vasp,Pcnx4,Slc35g1,Wdfy4,Cdc20,Cluap1,Kcnq1ot1,Semp2l1,,,,
Dkc1,Cnot3,Tinag,Trim43c,Hyal2,Mapk12,Suv39h2,Vps51,Cklf,Id2,,,,,,4930579K19Rik,Lhcgr,Hdgfl2,Mafk,Cbr4,Lgals4,Tctn3,P2ry2,Retreg3,Spag17,,,,
Map2k4,Nudt16,Vps37d,Gm7008,Nudc,F3,B230208H11Rik,Llph,Ciart,Cul4a,,,,,,Mir1932,Zfp821,Golga1,Prrg2,Mtif2,Klc2,4932414N04Rik,Arntl,Cdv3,Vmn1r14,,,,
Rhbdd1,Tbpl1,Gm20594,Hoxb2,H2-T22,Mmrn1,1700034J05Rik,Pxdn,Slc18b1,Rbbp4,,,,,,ENSMUSG00000053815,Cacna1e,Mrps25,Rbm12,Cdc27,Maml3,Plxdc1,Idua,Rps3a1,Drp2,,,,
Hfe,Armcx4,ENSMUSG00000090891,Olfr75-ps1,Zswim8,Tspyl2,Slfn1,Inpp5a,Gca,,,,,,,ENSMUSG00000031981,Krt7,Asrgl1,Crtc3,Hexa,Spsb3,Cbarp,Lonrf1,Slc16a7,Vmn1r83,,,,
Mcoln1,Rbm48,ENSMUSG00000034555,Gm9866,Reep6,Fendrr,Nlrp5-ps,Col1a2,Vmn1r87,,,,,,,Snord35a,2410004P03Rik,Amotl2,Ube2a,Sh3bgrl2,Nup107,Igfbp6,Pctp,Timm8b,Slc4a10,,,,
Josd1,2310057M21Rik,Olfr228,Gm11944,Eif4e2,Rps6kl1,Btnl10,Mrpl55,9430037G07Rik,,,,,,,Ptgir,Slc16a13,Rere,C1galt1c1,Zfp617,Proser1,Hoxa5,Filip1l,Rer1,Fap,,,,
Rnf20,Pbdc1,ENSMUSG00000021396,St8sia3os,Trrap,Zfp462,Vmn1r184,Pdrg1,Elmo1,,,,,,,Mrgprb1,Fbxo47,2510039O18Rik,Arhgap24,Ptdss1,Gm5617,Prom2,Smoc2,Psma2,Ldb3,,,,
L3hypdh,Mest,Speer4b,Vmn2r26,Sphk2,Ift22,Sfxn4,Rusf1,Hilpda,,,,,,,Tnfrsf25,Adam15,Mrpl11,Urm1,Tmem147,Snx11,Nod2,Slf1,Slc31a1,Olfr324,,,,
Ptpra,Tmtc2,Gm21057,Tesc,Nfe2l1,Pdlim7,Slc2a13,Mast3,1110046J04Rik,,,,,,,ENSMUSG00000030510,Nxn,Ambra1,Nfatc1,Tom1l1,Slc2a1,Ankrd1,Entpd1,Ndufb9,Olfr1316,,,,
Atpif1,Klhl28,Tbx3os2,4930444P10Rik,Slc45a3,Zfp414,Cd244a,Flot1,Tnfsf13,,,,,,,Atf7ip2,Zfp979,H2-T24,Cblb,Dcaf1,Endov,Ntf3,Gm19522,Pcbp2,Neurl1a,,,,
Atf1,Zfp687,Tmem150b,Ccdc142,Tcea3,Tbx2,Celf4,Ddx49,Rhoh,,,,,,,ENSMUSG00000095457,Card19,Naa10,Nde1,Atxn10,Det1,Syngr1,Far1,Sub1,Unc5d,,,,
Dop1a,Ift80,ENSMUSG00000076217,Spag8,Rnf44,Lrrc56,Ccdc173,Arap3,Lama3,,,,,,,Ndp,Bcl2a1d,Myo1d,Larp7,Rdh10,Laptm5,Olfr586,Ccl6,Fhip2a,Mc3r,,,,
Adss,Mapk1ip1,Zmynd12,Myo5c,Mlf2,Cep131,Epha4,Myh10,Gvin-ps4,,,,,,,ENSMUSG00000073158,Arhgef25,Fars2,Nop9,Smcr8,Tead3,Mfsd13a,Cntln,Xiap,Olfr681,,,,
Asah1,Arl15,Neurod6,Nsg1,Cttn,Map2k3os,Dach1,Cnp,Snora28,,,,,,,Dnm1,Pafah1b3,Creb3l2,Atg14,Dock4,1110065P20Rik,Kif9,Lix1l,Elovl6,Gm16617,,,,
Cul5,Ehd4,Abhd16b,Spata17,Impdh2,Myo1g,9530080O11Rik,Dnmt1,Cd59b,,,,,,,Septin14,Stat4,Tm2d3,Nudt13,Bola3,Cbx6,Ttll8,St3gal6,Vps35,Cdh10,,,,
Rhot1,Scfd2,Lrrc66,Olfr1564,Aox1,Lrrc29,Serpini1,Lemd2,Gm16973,,,,,,,Erich3,Tgfbr3l,Trappc3,Klhl42,Vps29,Faap20,Pax6,Ankrd16,Acat2,Olfr533,,,,
Stam,Lancl1,Flicr,Osbpl10,Yap1,Otub2,Sros1,Paxx,Gm4956,,,,,,,Dlx6os1,Nphp1,Emilin1,Ppp4r4,Pcmtd2,Slc10a3,Cbr3,Ces1b,Pcyt1a,Kif5c,,,,
Cast,Fam47e,Gm11351,Olfr656,Lamtor2,Adprh,Rad54b,Rasa3,Smpd3,,,,,,,Olfr732,Sh3bp4,Coro1c,Phf10,St7l,Zbtb17,1700120C14Rik,Cyp51,Mal2,Olfr140,,,,
Ubl3,Hecw2,Cpne7,Olfr1156,Ndufb11,Siva1,Chek1,Tmed3,H2ac18,,,,,,,ENSMUSG00000065489,Spata24,Wdr20,Trub1,Mapkap1,Lsm10,1700045H11Rik,Rnu12,Mga,5830416I19Rik,,,,
Synj1,Pfdn4,ENSMUSG00000078420,Syp,Psmc2,Aif1,Kif4,Egfl7,Clec4a3,,,,,,,Myo18b,Med18,Dock6,Bcl10,Ckap5,Fermt3,Enkd1,Ly75,Psme1,5730507C01Rik,,,,
Antxr2,Lcmt2,Grin2d,Clec4d,Gcn1,Pcdh18,Clec2e,Elmo3,Mindy4,,,,,,,Vmn1r30,Tifab,Mkrn2,Mfap1a,Emg1,Plekho1,Pcyox1l,4921524J17Rik,Txnip,Pip5k1b,,,,
Psmd6,Caml,Cyp2d11,Nmb,Usp4,Zfat,Fam169a,Naglu,Rpgrip1l,,,,,,,Catsper3,1110051M20Rik,Shisa5,Syde2,Chn2,Tada3,Rab37,Cenpq,Arrdc3,Lix1,,,,
Gsap,Zfp433,Olfr921,Gm20125,Acbd4,Sema4c,Rgr,Strip1,4933438K21Rik,,,,,,,Mpl,Olfr639,Isy1,Paxbp1,Ublcp1,Fes,Tnfrsf18,Kdm5d,Fam126b,Xpnpep2,,,,
Kansl2,Slc35a4,Tox3,Tnfaip8l2,Aacs,Nckap5,Pgbd1,Rps6kc1,Ly9,,,,,,,Cdh20,Fkbpl,Taf12,Zbtb37,Cdc123,Tulp3,Dbndd1,Mtrf1l,Cxadr,Lekr1,,,,
Rpa1,Zfp954,Mogat2,Mtmr11,Ehd3,Cyp4x1,Vmn1r203,Txnl4a,Zfp940,,,,,,,Usp43,BC055324,Wdr45,Dnajc18,Cops3,Dexi,Nkd2,Zfp619,Ppp1cb,Arpp21,,,,
Tmem140,Cdkl2,Hcn2,Olfr329,Ap3d1,AI413582,Olfr1109,Pofut2,Gm4841,,,,,,,4933429O19Rik,Stxbp5l,Map3k13,Rabif,Mtmr6,Nlrx1,Trim68,Kbtbd3,Tulp4,Ect2l,,,,
Fbxo34,Etv3,1700108F19Rik,Olfr48,Taok3,Cep89,Gm4349,Snrpg,Snora81,,,,,,,Asic3,Col4a5,Adar,Tarsl2,Glce,Rfng,Gm44505,Reck,Tut7,Acrv1,,,,
Nek6,Rilpl2,Xlr4c,Nkg7,Gltpd2,Pheta1,Ikzf4,Lmf2,Rbm20,,,,,,,Olfr958,Prdm11,Srrt,Zfp326,Gid4,Cdh1,Muc1,Btg2,Ccl9,Tigd4,,,,
Scaf8,Flrt1,Smok4a,Ryr2,Prpf19,Fbxw17,Zfp781,Elac2,Pcdh7,,,,,,,Slc45a2,Purg,Irs2,Slc35a5,Ube2f,Hk1,Myl7,Zbtb9,Dnajc13,St8sia6,,,,
Rgl1,1110059G10Rik,ENSMUSG00000118084,Olfr51,Nit1,Tfap4,Gp1ba,Neurl4,Tnc,,,,,,,Mcpt8,Mzf1,Inppl1,Gtpbp2,Septin2,2610528J11Rik,4732491K20Rik,Anxa1,Hnrnph2,Tex13b,,,,
Vps53,G2e3,ENSMUSG00000053675,Trpv3,Adipor1,Gstcd,Dlx1as,Capn10,Ccdc17,,,,,,,Gabrg1,Zfp668,Zfp236,Kdm4c,Serinc5,Gna14,Spag5,Olfr1372-ps1,Sepsecs,1810062O18Rik,,,,
Msrb3,Lin54,Fbxw21,Syn1,Rps5,Ttc39a,Elavl3,Coa7,Gm20604,,,,,,,Tepp,Defb1,Gfer,Nr2c1,Fam168a,Alkbh7,H3c1,Rasa2,Rnf130,Olfr164,,,,
R3hdm1,Terf2,Wnt8b,Olfr620,Rps15,Lockd,Epha5,Carm1,,,,,,,,B020004C17Rik,Armc7,Nubp2,Nudcd1,Pole4,Pvr,Fhl3,C4a,Ndufa9,Cetn4,,,,
Bdp1,Gja1,Pla2g10os,D930020B18Rik,Gatad2a,Magee1,1700030C10Rik,Pus1,,,,,,,,ENSMUSG00000025467,Cd24a,Ifrd2,Wdr41,Fbxw11,Nynrin,Pdpn,Snora23,Abcc9,4930455C13Rik,,,,
Acer3,Hdac1,ENSMUSG00000044170,Pdzd9,Hoga1,Tmco6,Haspin,Efnb1,,,,,,,,Lrrd1,Mrpl23,Abcb8,Eef2k,Tial1,Mr1,Olfr1124,Cdkn1a,Ufm1,Eid2,,,,
Fnbp1,Stx8,ENSMUSG00000056222,St18,Ergic1,Il17rd,Zfp202,Cherp,,,,,,,,Insl3,Nkain2,Polr3gl,Ftx,Trim33,Cby1,Prf1,Caap1,Nsun2,Nlgn3,,,,
Tet2,Shld1,ENSMUSG00000020703,Olfr1023,Tmem94,Bbs4,Il7,Avpi1,,,,,,,,Cyp19a1,Cln6,Slc35b4,Zfp868,Cd55,Pard6b,P2rx5,Dpm3,Ahnak,4933401D09Rik,,,,
Trappc13,Haus2,Nrtn,Shank1,Pcbp1,Atp1a2,Ttc12,Cars,,,,,,,,Casq1,Zg16,Arhgef1,Stk35,Mrtfb,Sema3f,Mmp11,Trmt61b,Dcun1d1,Gm4710,,,,
Ptar1,Sacs,1700003G18Rik,Klhdc1,Mrpl51,Rftn1,Drc3,Ybx3,,,,,,,,Dnah6,Stoml1,Plekhg1,Helb,Rrn3,Lilra5,H2bc9,Scd2,Deptor,Olfr1356,,,,
Kdm1a,Postn,Olfr933,Fut1,U2af1,H2bc8,3300002I08Rik,Wdr83os,,,,,,,,Fndc9,Alyref2,Tep1,Nav1,Fdx1,Necap2,Zfp459,Egfr,Efr3a,Olfr536,,,,
Fam135a,Slc31a2,Msi1,Tmem202,Psmd4,Pou2f2,Ccdc144b,Bcar1,,,,,,,,Snord72,Prrx1,Vps33a,Zfp410,Zkscan3,9430015G10Rik,Mirt2,Irf7,Tprkb,Nipal4,,,,
Acot13,Wars2,Plscr5,Gm16833,Ewsr1,Prss23,Nupr1l,Slc4a2,,,,,,,,Olig3,Serpine1,Celsr1,Rbm12b2,Dusp16,Pth1r,Nradd,Nrg4,Nnt,Vmn1r172,,,,
Atp6v1d,Dimt1,ENSMUSG00000067704,Akr1c21,Ep400,Selenon,Acsm2,C1qc,,,,,,,,L1td1,Bach2os,Mrps18a,Polr1f,Sec11a,Alkbh6,Boc,H2-Q4,Sp1,Zic1,,,,
Mrpl18,Slx1b,ENSMUSG00000099917,Igf2,Hmox2,Sash3,Cdca8,Stard3,,,,,,,,Gm10556,Samd12,Slc46a1,Rnf38,Tmem70,4933431G14Rik,Shisa9,Ahcy,Secisbp2l,Iho1,,,,
Zc3h12c,Ifit3b,Olfr551,Olfr403,Fem1a,Pmp22,Gcnt1,Rfc2,,,,,,,,Pramel4,Vmn2r59,Creld1,Vti1a,Mpv17,Nfkb2,Susd3,Syce2,Tgfbi,Itgb6,,,,
Lamtor5,Rsad2,H2ac11,Ccnjl,Rnf10,Lrfn4,Vmn2r90,Nans,,,,,,,,Fsd1,Tacc3,Zhx2,Akt3,Fgfr1op2,Zkscan6,Gm15133,Maml2,Pcca,Olfr457,,,,
Sgk1,Rasgrp3,ENSMUSG00000111556,Prdm1,Leap2,Trpm4,Slc4a1,Fuom,,,,,,,,3200001D21Rik,Vmn2r102,Zfhx3,C87436,Txndc12,Cenpo,Rab11fip5,Olfr46,Tmem30a,Vmn1r175,,,,
Kbtbd2,Slc36a4,Olfr612,C330013E15Rik,Mthfd1,Tcaf2,Olfr859,Plcb3,,,,,,,,ENSMUSG00000019359,Vmn2r99,Srp68,Rtp4,Ubn2,Macrod1,Sytl3,Vmn2r115,Mapk1,Nek11,,,,
Pea15a,Stxbp4,Spef2,Ceacam2,Dnajb11,Spsb4,Ereg,Mad1l1,,,,,,,,Kcnip1,Csgalnact1,Ppp1r37,Cbx4,Tut4,Smg9,Klhdc7b,Hhip,Atp6v1e1,Ido1,,,,
Zfp26,Cdk2,ENSMUSG00000048329,Phf24,Wsb2,Rad9b,Scd3,Tbcb,,,,,,,,Efhb,Kank3,Nelfb,Nars2,1700066M21Rik,Smyd1,Lat,Rel,Cep85l,Gm11747,,,,
Tshz1,Armc7,Scg5,Pmel,Cox8a,Ltb,Pcdhga9,Zfp276,,,,,,,,ENSMUSG00000055110,Olfr851,Tatdn2,Nlrc5,Msantd4,Cers5,B930059L03Rik,1110059E24Rik,Slc33a1,Asphd1,,,,
Nifk,Snhg1,4930486I03Rik,0610009L18Rik,Snd1,Tnfrsf19,Chst3,Eftud2,,,,,,,,Esr2,Rgs10,Nr0b2,Socs7,Rap2c,Gramd1b,Serpina5,Gm10658,Galnt1,Cxcr5,,,,
Myl12a,Pde4d,ENSMUSG00000075174,Olfr398,Inhbc,Zfp346,Olfr829,Fam53a,,,,,,,,Clec5a,Thoc6,Hmgn5,Nuak2,Zfp655,Aph1b,Meox1,Hypk,Ube3a,Vmn2r14,,,,
Lsm12,Fahd2a,ENSMUSG00000058589,Tfap2b,Limd1,Lime1,Mboat1,,,,,,,,,ENSMUSG00000049456,Arhgap9,Sh2b1,Lztfl1,Ube2n,Enc1,Sfrp1,A830082K12Rik,Fam210a,Osbpl6,,,,
Zranb2,Rab33b,Has1,4930528D03Rik,Hars,Pgm5,Gm3604,,,,,,,,,Klra1,Ccdc39,Robo4,Nme6,Ostf1,Adgrg3,Bc1,Phf11d,Cnih1,Rspo1,,,,
Setdb1,Wdr70,Snord55,Trim36,Twnk,Cit,Cfap74,,,,,,,,,Aqp3,Ccdc159,Urgcp,Mrps9,Trmt2b,Atp8b5,Chrm1,Cttnbp2nl,Pank3,Olfr729,,,,
Khdrbs1,Pus7,Vmn1r5,Morc2b,Hexa,Tonsl,Ppbp,,,,,,,,,B3gnt4,Insyn2a,9030025P20Rik,Cnih4,Tcf12,Carmn,Dram1,Pus3,Esyt2,Shcbp1l,,,,
Rif1,Bloc1s6,Gm44502,Egfl8,Ap2m1,Clstn3,Jakmip2,,,,,,,,,Klf17,Zscan20,Pnpla2,Nr6a1,Bloc1s5,Ccdc22,Col4a3,Fcgr4,Pter,Dbpht2,,,,
Cwf19l2,Cybb,C86187,Adamts18,Tmem147,Ksr1,Olfr472,,,,,,,,,Pkp1,Bik,Psmb8,Naa16,Tmem167b,Smad6,Il1rl2,Fbxo32,Hspb8,Psmb11,,,,
Mrrf,Gmeb2,Nrg3,Gja6,C2,Mcm3,Cd3d,,,,,,,,,Gm6592,Fam43a,Ephb4,Ints2,Tent4b,Gpc1,Fcrl1,Atg16l2,Ibtk,Olfr740,,,,
Mtpap,Lrrk2,Vmn2r55,Adamts3,Madd,Smim1,I830077J02Rik,,,,,,,,,ENSMUSG00000028259,1810024B03Rik,Taok2,Ints14,Cnot2,Ino80e,Cacna1i,Socs5,Prkar2a,Galnt3,,,,
Arhgap32,Casp8ap2,1700129C05Rik,Arhgap33,Septin9,Ttyh3,Gria3,,,,,,,,,Asb11,Sap30,Crnkl1,Txnl4b,Spp1,Lzic,Hrct1,Ccr5,Acp2,Tmem132d,,,,
Parp12,Trim39,Insm1,Rdh18-ps,Myl6,Med9,Dlg2,,,,,,,,,Olfr959,Zfp773,Inf2,Lrit1,Krit1,Syk,Pisd-ps2,Upp2,Pals2,Stard6,,,,
Ppt1,Mpg,Sv2a,Pstpip1,Ehmt1,Cdon,Ulk4,,,,,,,,,ENSMUSG00000030092,Trpm6,Hcfc1r1,Cbfb,Ppp1r2,Gab2,Xirp1,She,Ube2d2a,Pcdhb20,,,,
Jak2,Egln3,Olfr160,Cnih3,Mical3,Gemin6,Pcdhga1,,,,,,,,,Pcdhb15,2810002D19Rik,Cenpx,Ccdc28a,Mbd2,Spry1,Slc51b,Atp6v0e,Ctnnd1,Olfr824,,,,
Tfrc,Med20,Smim18,Piwil2,Eif4g3,Igsf10,Nrxn3,,,,,,,,,Fzd2,Fv1,Slc39a11,Ccdc141,Wdr61,Adamts9,Apba2,Piga,Selenof,Psrc1,,,,
Rybp,Mtfmt,Vmn2r110,Gm13629,Ufc1,Hap1,A830018L16Rik,,,,,,,,,4930431P03Rik,H2bc18,Nfu1,Ppil1,Vapb,Flvcr2,Plxna3,Slc22a26,Vmp1,Vmn2r27,,,,
C330018D20Rik,Gorab,ENSMUSG00000055210,Mcoln2,Creb3l3,9930014A18Rik,Trim59,,,,,,,,,Tspo2,Fam122b,Alg1,Atp7a,Bmi1,Tmem86a,Gm839,Jrkl,Mier1,Teddm1b,,,,
