tissue	atlas_tissue	compartment	atlas_cells	rank	gene_id	atlas_log2cpm	specificity_log2_fold
liver	liver	lymphoid	579	1	ENSMUSG00000005763	10.486227989196777	9.25594711303711
liver	liver	lymphoid	579	2	ENSMUSG00000032281	8.788415908813477	8.762394905090332
liver	liver	lymphoid	579	3	ENSMUSG00000035042	15.2643404006958	7.380956172943115
liver	liver	lymphoid	579	4	ENSMUSG00000068252	6.461158275604248	6.3126630783081055
liver	liver	lymphoid	579	5	ENSMUSG00000003882	10.554471969604492	6.056452751159668
liver	liver	lymphoid	579	6	ENSMUSG00000028435	6.665107727050781	6.048721790313721
liver	liver	lymphoid	579	7	ENSMUSG00000028965	9.233799934387207	5.911608695983887
liver	liver	lymphoid	579	8	ENSMUSG00000033998	6.80924654006958	5.427597999572754
liver	liver	lymphoid	579	9	ENSMUSG00000029822	7.877781391143799	5.416679382324219
liver	liver	lymphoid	579	10	ENSMUSG00000003379	14.124551773071289	5.319011688232422
liver	liver	lymphoid	579	11	ENSMUSG00000026117	11.650323867797852	5.300455570220947
liver	liver	lymphoid	579	12	ENSMUSG00000015437	13.282010078430176	5.070145606994629
liver	liver	lymphoid	579	13	ENSMUSG00000023274	9.111504554748535	5.0413055419921875
liver	liver	lymphoid	579	14	ENSMUSG00000034573	6.242995738983154	4.979761123657227
liver	liver	lymphoid	579	15	ENSMUSG00000040584	6.50782585144043	4.942762851715088
liver	liver	lymphoid	579	16	ENSMUSG00000024399	13.567240715026855	4.855993270874023
liver	liver	lymphoid	579	17	ENSMUSG00000037868	7.699032783508301	4.570407867431641
liver	liver	lymphoid	579	18	ENSMUSG00000040592	13.262117385864258	4.517148971557617
liver	liver	lymphoid	579	19	ENSMUSG00000059430	4.420943260192871	4.415503025054932
liver	liver	lymphoid	579	20	ENSMUSG00000034612	6.955620765686035	4.325517654418945
liver	liver	lymphoid	579	21	ENSMUSG00000074923	4.7430572509765625	4.280688285827637
liver	liver	lymphoid	579	22	ENSMUSG00000014030	5.251501083374023	4.003005027770996
liver	liver	lymphoid	579	23	ENSMUSG00000052142	9.882667541503906	3.989283561706543
liver	liver	lymphoid	579	24	ENSMUSG00000034634	12.636988639831543	3.9566421508789062
liver	liver	lymphoid	579	25	ENSMUSG00000028583	5.647171497344971	3.861276149749756
liver	liver	lymphoid	579	26	ENSMUSG00000000915	7.850938320159912	3.835969924926758
liver	liver	lymphoid	579	27	ENSMUSG00000027368	11.704462051391602	3.829867362976074
liver	liver	lymphoid	579	28	ENSMUSG00000040663	7.4852294921875	3.7060506343841553
liver	liver	lymphoid	579	29	ENSMUSG00000020788	9.014063835144043	3.652276039123535
