FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Pdik1l,Arpc5l,Mindy1,,,,,,,,,,,Acot5,Tmem50b,Cdk20,Grb14,,,,,,,,,
Cibar1,Usp38,Acnat1,,,,,,,,,,,Cyp2s1,Cybc1,Nek10,Gch1,,,,,,,,,
Vps16,Tmpo,Arhgap21,,,,,,,,,,,Otogl,Pspc1,Zfp433,Lmbrd1,,,,,,,,,
Dhx16,Cdc73,Rabgap1l,,,,,,,,,,,Prr32,Pgm2,Abi3,Rab1b,,,,,,,,,
Ttc1,Cemip2,Plod1,,,,,,,,,,,Clec18a,Mrpl47,Zfp383,Pptc7,,,,,,,,,
Oxnad1,Usp48,Gnai2,,,,,,,,,,,Colgalt2,Taf5l,P2rx7,Tmbim1,,,,,,,,,
Pofut1,Fip1l1,Asah2,,,,,,,,,,,Tmprss11e,Nudt18,Zfp821,Pex11a,,,,,,,,,
Cyth2,Ikbkg,Tlk1,,,,,,,,,,,Lgals7,E2f4,Rilpl2,Pkp4,,,,,,,,,
Daglb,Irs2,Mta2,,,,,,,,,,,ENSMUSG00000090546,Btbd6,Faim,Myl12b,,,,,,,,,
Rit1,Inppl1,Depp1,,,,,,,,,,,Ifi209,Utp4,Zmat5,Syncrip,,,,,,,,,
Rpl29,Zfp236,Abcb6,,,,,,,,,,,Nkx1-2,Mpv17l2,H2-Q6,Poldip2,,,,,,,,,
Stap2,Cox16,Osbp,,,,,,,,,,,Tnfsf15,4930556M19Rik,Slc16a13,Kpna3,,,,,,,,,
Zfp397,Mief1,Pik3ca,,,,,,,,,,,Vit,Fmnl3,Sh3pxd2b,Pfn1,,,,,,,,,
Malsu1,Hnrnpr,Usp19,,,,,,,,,,,Gzmm,Crtap,Zfp607a,Arpc5l,,,,,,,,,
Banf1,Cyp2c23,Btbd1,,,,,,,,,,,Pdgfrl,Fbxl18,Oas2,Man2a2,,,,,,,,,
Lmo7,Trim28,Manf,,,,,,,,,,,Fam229b,Klhl26,Arhgef25,Tollip,,,,,,,,,
Nuak1,Mff,Tenm3,,,,,,,,,,,Barhl1,Qtrt2,Nphp1,Pglyrp2,,,,,,,,,
Dnajc27,Vps33a,Rtcb,,,,,,,,,,,Cd22,Farsa,Fam135a,Cemip2,,,,,,,,,
Rpl3l,Mrps18a,Map3k2,,,,,,,,,,,Pcdha10,Emc9,Med18,Prdx4,,,,,,,,,
Ankrd52,Slc46a1,Kdelr2,,,,,,,,,,,Mapk10,A330023F24Rik,Tifab,Eif3b,,,,,,,,,
Crybg2,Tmod3,Dnajc10,,,,,,,,,,,B4galnt3,Slc4a1ap,Cstpp1,D5Ertd579e,,,,,,,,,
Micu2,Gatb,Pnrc2,,,,,,,,,,,9330158H04Rik,Car2,Dimt1,Hsbp1,,,,,,,,,
Chrac1,Zfhx3,Ttc23,,,,,,,,,,,Lhx1os,Miip,Fkbpl,Nfic,,,,,,,,,
Plac8,Srp68,Stk16,,,,,,,,,,,Acot10,Rab4a,Col4a5,Tug1,,,,,,,,,
Lats2,Cers6,Nek9,,,,,,,,,,,Padi3,Dvl3,ENSMUSG00000115018,Prpf4b,,,,,,,,,
Gmppb,Rab21,Dennd5a,,,,,,,,,,,Lysmd2,Dnajc30,Zfp668,Dhfr,,,,,,,,,
Rnf216,Ppp1r37,Rad21,,,,,,,,,,,Cd300e,Adck2,Stxbp4,Pla2g12b,,,,,,,,,
Tpst2,Kmt2e,Esrp2,,,,,,,,,,,P2ry10b,Pigc,Apbb1,Ube2l3,,,,,,,,,
Zfp942,Macroh2a1,Prkacb,,,,,,,,,,,Trap1a,Poglut3,Armc7,Trim28,,,,,,,,,
Klhdc3,Eaf1,Psmc4,,,,,,,,,,,Slc17a7,Cep97,Cln6,Clint1,,,,,,,,,
Bckdk,Lsm6,Osgin1,,,,,,,,,,,Meltf,Smarcb1,Naf1,Mycbp2,,,,,,,,,
Jph1,Ubn1,Dennd4a,,,,,,,,,,,Pcdhb16,Ptprcap,Stoml1,Dram2,,,,,,,,,
Rnf5,Pnpla2,Grina,,,,,,,,,,,Mgarp,Sucnr1,Alyref2,Cers6,,,,,,,,,
Clic1,Tbc1d8b,Sfxn1,,,,,,,,,,,Adam4,Ltv1,Corin,Hsd17b12,,,,,,,,,
Coro6,Iars1,Fgd6,,,,,,,,,,,Map6d1,Tarbp1,Lmnb1,Slc12a7,,,,,,,,,
Srp54b,Ephb4,Slc35a3,,,,,,,,,,,Pde10a,Zfp422,Bloc1s6,Azi2,,,,,,,,,
Ube2s,Pura,Coq9,,,,,,,,,,,Fbxl7,Nod1,Csgalnact1,Ric1,,,,,,,,,
Gata4,Tmem131,Rab9,,,,,,,,,,,D930015M05Rik,Cpsf4l,Gtf2ird2,Mmp19,,,,,,,,,
Tagln,Taok2,Strbp,,,,,,,,,,,Hs6st2,Yrdc,Rgs10,Tfam,,,,,,,,,
Leng8,Atp7b,Supt16,,,,,,,,,,,Gm5150,Trim37,Thoc6,Tpp1,,,,,,,,,
Rfesd,Isca1,Hmgn1,,,,,,,,,,,Wfdc12,Tmem106a,Pik3r3,Tubb5,,,,,,,,,
Arhgap23,Tmem254,Slc39a7,,,,,,,,,,,Scn10a,Hmgn2,Gorab,Srsf6,,,,,,,,,
Morc3,Tprg1l,C1d,,,,,,,,,,,Ccdc136,Adamts5,Ccdc159,Sbno1,,,,,,,,,
Rubcn,Ext1,Arhgdia,,,,,,,,,,,Ptprq,Zfp335,Dvl2,Arfgap2,,,,,,,,,
Psmf1,Ddx42,Lin7c,,,,,,,,,,,Cenpl,Mark2,Zfp691,Kif13b,,,,,,,,,
Fmnl2,Map3k5,Eif3d,,,,,,,,,,,Zc3h12a,1810019D21Rik,Phf13,Arl5b,,,,,,,,,
Parp3,Gtf3c4,F11r,,,,,,,,,,,Itprip,Mon1a,Tbc1d22b,Tmem131,,,,,,,,,
Pnn,Suz12,Ppp1cc|Ppp1ccb,,,,,,,,,,,Tuba3b,Rbm41,Sla,Cpox,,,,,,,,,
Arhgef18,Sult2a3,Fkbp2|Gm51400,,,,,,,,,,,Zfp941,Exosc2,Zscan20,Atp7b,,,,,,,,,
Foxj3,Necap1,Gfm2,,,,,,,,,,,Hspb9,Fam89b,Bik,Inhbe,,,,,,,,,
Rnf43,Ost4,Mef2a,,,,,,,,,,,BC048671,Dusp19,Fam43a,Dynlrb1,,,,,,,,,
Dctn3,Sf3b3,Upf1,,,,,,,,,,,Cenpe,Mob3c,Sap30,Trappc8,,,,,,,,,
Tap2,Lyn,Marchf5,,,,,,,,,,,ENSMUSG00000089987,Tbx20,Fv1,Isca1,,,,,,,,,
Acox3,Ube2k,Rcl1,,,,,,,,,,,Ccdc85a,Prorp,Cdca4,Kmt2d,,,,,,,,,
ENSMUSG00000071793,Smim7,Rab5a,,,,,,,,,,,Kank4,Pik3c2b,Pigw,Nono,,,,,,,,,
Slc20a1,H2az1,Dpy19l1,,,,,,,,,,,D330050G23Rik,Brms1,Pabir2,2810459M11Rik,,,,,,,,,
Mier3,Ndfip2,Pa2g4,,,,,,,,,,,Dyrk4,Nedd9,9230114K14Rik,Dcxr,,,,,,,,,
Ap2s1,Plxna2,Clcn3,,,,,,,,,,,Snord61,Nop58,Fntb,Akr1c12,,,,,,,,,
Tubg1,Per2,Zfp36l1,,,,,,,,,,,Dscaml1,Polrmt,Fcgbp,Sult2a3,,,,,,,,,
Jun,Usp14,Irf6,,,,,,,,,,,Cyp4a31,Eif2b3,Dkk2,Aldh5a1,,,,,,,,,
Ing4,Rnf217,Ap3b1,,,,,,,,,,,Gprin1,Rfxap,Arhgap39,Bpnt1,,,,,,,,,
Prkdc,Cdk5rap3,Preb,,,,,,,,,,,Gdap1,Cstf3,Slc49a3,Rab10,,,,,,,,,
Tie1,Zmym2,Hnrnpc,,,,,,,,,,,Ccl20,Lmo4,Iffo1,Supt6,,,,,,,,,
Mtf1,Abi1,Dnajc15,,,,,,,,,,,Syt7,Zfp58,Stmn1,Mpdz,,,,,,,,,
Sirpa,Jup,Adh4,,,,,,,,,,,ENSMUSG00000073374,Pear1,Slc17a9,Timm23,,,,,,,,,
Elf2,Klf13,Pdxdc1,,,,,,,,,,,Mrgprh,Suv39h1,Prss53,Erp44,,,,,,,,,
Emp1,Armc1,B4galt1,,,,,,,,,,,Chrna7,Coro1a,Armcx1,Zc3h11a,,,,,,,,,
Rmc1,Mvp,Vapa,,,,,,,,,,,Prr15,Hmgb2,Snora30,Zzef1,,,,,,,,,
Prmt1,Psme3,Adgrl2,,,,,,,,,,,Cntn3,Ccnyl1,Casp4,Sft2d2,,,,,,,,,
Rnd2,Extl3,Atp6v0d1,,,,,,,,,,,Ppp1r35,Frmd8,Fads3,Mrps21,,,,,,,,,
Pld3,Rad23a,B4galnt1,,,,,,,,,,,B3gnt9,Cmpk2,Csrnp2,Ltbr,,,,,,,,,
Xrcc6,Tbc1d16,Spata13,,,,,,,,,,,Wdr93,Ppic,Gltp,Smim7,,,,,,,,,
Shb,Crybg1,Hbs1l,,,,,,,,,,,Rasl2-9,Mettl2,Cd200r1,Pitpna,,,,,,,,,
Slc35c2,Mrpl10,Adrm1,,,,,,,,,,,Crnde,Mfsd3,Sncg,Mrpl14,,,,,,,,,
Ift140,Braf,Tmem258,,,,,,,,,,,Igsf23,Akap7,Kif3a,Selenoo,,,,,,,,,
Nat8f7,Gabpb2,Tasor,,,,,,,,,,,Vmn2r95,Usb1,Zscan25,Anxa7,,,,,,,,,
Usp1,Ube2g1,Magi3,,,,,,,,,,,Dazl,Xaf1,Pabir1,Zmym2,,,,,,,,,
Ubxn8,Kdm1b,Zfand5,,,,,,,,,,,Ankrd42,Amigo1,Ccdc77,Ankrd17,,,,,,,,,
Pitpnm2,Dbp,Plxnc1,,,,,,,,,,,Gm6225,Efna5,Ly6d,Rab6a,,,,,,,,,
Ptgs1,Shank2,Sdr9c7,,,,,,,,,,,Jmjd7,Cpne2,Med26,Pdzk1,,,,,,,,,
Ddx19b,Lmna,Zc3hav1,,,,,,,,,,,5330413P13Rik,Phf21a,Spata7,Klf13,,,,,,,,,
Dpysl2,Snap23,Gnb2,,,,,,,,,,,4933432I03Rik,Mak16,Apod,Cnn3,,,,,,,,,
Ptpn23,Msl2,Mon2,,,,,,,,,,,Adm,E4f1,Cep170,Slc35d1,,,,,,,,,
Mid2,Cyth1,Stbd1,,,,,,,,,,,Celf5,Ntm,Icam2,Tmco1,,,,,,,,,
Fxr2,Orm2,Smpdl3a,,,,,,,,,,,Eno4,Abca7,Gask1b,Nherf1,,,,,,,,,
Pdzd11,Sptlc2,Arpc5,,,,,,,,,,,Tnfrsf26,Rnf41,Rpusd2,Gbf1,,,,,,,,,
Gt(ROSA)26Sor,ENSMUSG00000088185,Kank2,,,,,,,,,,,Hoxa4,Rhbg,ENSMUSG00000022639,Ppdpf,,,,,,,,,
Gimap8,Mob3b,Dennd4c,,,,,,,,,,,Cdh23,Abraxas1,Neto1,Nek7,,,,,,,,,
Tmtc3,Crbn,Grpel2,,,,,,,,,,,A730020M07Rik,Bco2,Il1b,St3gal1,,,,,,,,,
Traf6,Uba2,Ergic3,,,,,,,,,,,Apln,Inpp5e,2310033P09Rik,Flii,,,,,,,,,
Wdr75,Dnmbp,Zwint,,,,,,,,,,,3110039M20Rik,Itpa,2310015D24Rik,Fbxo8,,,,,,,,,
Mettl4,Onecut1,Lgmn,,,,,,,,,,,Platr4,Mcrs1,Ppp2r3d,Uhmk1,,,,,,,,,
Nat10,Csnk2a2,Gigyf2,,,,,,,,,,,Tead2,Pld4,Ccr2,Fam136a|Gm30502,,,,,,,,,
Whamm,Sfi1,N4bp2,,,,,,,,,,,Cfap52,Plekhj1,E130102H24Rik,Blvrb,,,,,,,,,
Zmynd8,Pnp,Bod1l,,,,,,,,,,,Cdc45,Mfsd12,Clip2,Ube2g1,,,,,,,,,
Snrpd1,Notch1,Rc3h1,,,,,,,,,,,Slc26a3,Cep192,Kcna2,Dbp,,,,,,,,,
Drosha,Fbxo9,Plpbp,,,,,,,,,,,Gpr183,Itga6,B9d2,Daam1,,,,,,,,,
Tafazzin,Tmed5,Ccser2,,,,,,,,,,,AY512931,ENSMUSG00002074846,AB124611,Gstt3,,,,,,,,,
Nagk,Hyal2,Ep300,,,,,,,,,,,Zdhhc2,Wdr59,Gm9895,Hcfc1,,,,,,,,,
Rfx7,H2-T22,Rbm25,,,,,,,,,,,Kcnrg,Urb2,Ccnf,Yif1a,,,,,,,,,
Styxl2,Ppl,Sash1,,,,,,,,,,,Nell1,Ccdc174,Evi2a,Erlin1,,,,,,,,,
Tspan4,Snord15b,Prkcsh,,,,,,,,,,,Mkx,Ccdc97,Gas2l3,Pex13,,,,,,,,,
Cbl,Cpeb2,Mfn1,,,,,,,,,,,Tex54,Zfp113,Fpr1,Atosa,,,,,,,,,
Cebpzos,Smad5,Klhdc7a,,,,,,,,,,,Tmem81,Cerkl,Zxdc,Txnrd1,,,,,,,,,
Snrpc,Rprl3,Bag6,,,,,,,,,,,Nlrp10,Csf1,St6galnac2,Ptbp1,,,,,,,,,
Chchd4,Zc3h15,Slc22a18,,,,,,,,,,,BC006965,Pnpla6,2310009B15Rik,Pex5,,,,,,,,,
Ddx54,Tcea3,Bst2,,,,,,,,,,,Retn,Rtca,Zfp74,Pnp,,,,,,,,,
Ddx19a,Arhgap12,Usp15,,,,,,,,,,,Grm4,A930005H10Rik,Ms4a1,Man2b2,,,,,,,,,
Parp4,Eif1ax,Jade1,,,,,,,,,,,Ly6g6f,Zfp2,Sult2a7,Znfx1,,,,,,,,,
Pef1,Ndufb11,Parp9,,,,,,,,,,,Apba1,Zfp933,Sox18,Echdc2,,,,,,,,,
Rpp14|Htd2,Igsf5,Pkn2,,,,,,,,,,,Gpx7,Gpn3,Bbs7,Gatad1,,,,,,,,,
Cln8,Eif3j2,Urod,,,,,,,,,,,ENSMUSG00000113737,Cenpc1,Arhgef28,Scaf11,,,,,,,,,
Casp7,Acvr2a,Grb7,,,,,,,,,,,Rubie,Cdk5rap1,Gfod1,Anxa5,,,,,,,,,
2310039H08Rik,Cdc42bpa,Peak1,,,,,,,,,,,Ndrg4,Slfn9,Slc25a48,Hnrnpm,,,,,,,,,
Bzw2,Acbd4,Fam168b,,,,,,,,,,,Gjb5,Zfp623,Bcdin3d,Notch1,,,,,,,,,
Pcmt1,Srsf11,Slc25a16,,,,,,,,,,,Fgf17,Traf7,Cep128,Wac,,,,,,,,,
Pfn2,Pdcd5,Tmem127,,,,,,,,,,,Oprk1,Lcp2,Oas1g,Fbxo9,,,,,,,,,
Zbtb43,Exoc3,Id2,,,,,,,,,,,Tmem269,Rassf4,Hgh1,Clic4,,,,,,,,,
Dpf2,Chmp2b,Cbx5,,,,,,,,,,,Pip,Hes1,Gnptab,Hipk2,,,,,,,,,
Tmem134,Zfp24,Mrps17,,,,,,,,,,,Fgd1,3110040N11Rik,Cpa3,Cul3,,,,,,,,,
Sae1,Ndufaf4,Rbbp4,,,,,,,,,,,Shisal2a,Nufip1,Mapk7,Eif4e2,,,,,,,,,
Znhit1,Gltpd2,,,,,,,,,,,,Plek2,Ezr,Zfp85,Trrap,,,,,,,,,
Ecd,Snw1,,,,,,,,,,,,Stk26,Cyrib,Grik5,G3bp2,,,,,,,,,
Patl1,Bcl2l13,,,,,,,,,,,,Mrgprf,Ankmy2,Timeless,Ulk2,,,,,,,,,
Pik3r2,Atf2,,,,,,,,,,,,Mmp21,Sart3,Mnd1,Mlf2,,,,,,,,,
Tent2,Vkorc1l1,,,,,,,,,,,,Ncaph,Tpbgl,Tspan13,Sh3d19,,,,,,,,,
Plxdc2,Rabgap1,,,,,,,,,,,,Nemp2,Rft1,Prkag3,Frmd4b,,,,,,,,,
Smim13,Baz2a,,,,,,,,,,,,Cox4i2,Dipk1a,Klf16,Aox1,,,,,,,,,
Eefsec,Nup88,,,,,,,,,,,,Ptpn20,Zng1,Inka2,Yap1,,,,,,,,,
Itga8,Fastkd2,,,,,,,,,,,,Angpt2,Rgs12,5430405H02Rik,Lamtor2,,,,,,,,,
Dhx30,Tmem94,,,,,,,,,,,,Lce1e,Ptbp2,Slc38a1,Eif1ax,,,,,,,,,
Ift172,Zmym5,,,,,,,,,,,,Trpm3,Dcps,Efr3b,Ndufb11,,,,,,,,,
Ntan1,Pitpnc1,,,,,,,,,,,,Sost,BC024139,Thy1,Gprin3,,,,,,,,,
Vars2,Stk38,,,,,,,,,,,,Cnbd2,Smyd4,Nol4l,Psmc2,,,,,,,,,
Srgap3,Nrip1,,,,,,,,,,,,Eda,Alg13,Gbp8,Gcn1,,,,,,,,,
Slc16a5,U2af1,,,,,,,,,,,,Vmn2r112,Pola1,N4bp3,Echdc1,,,,,,,,,
Trub2,Tpm4,,,,,,,,,,,,Il1rapl1,Eif2b2,Spc25,Epg5,,,,,,,,,
Antxr1,Abhd1,,,,,,,,,,,,Vmn2r1,Prkcd,Aldh3b3,Usp4,,,,,,,,,
Slc35f6,Rsl1d1,,,,,,,,,,,,Gpr37l1,Bad,Dmac2l,Dnase1l3,,,,,,,,,
Dchs1,Nup98,,,,,,,,,,,,Haus8,Senp1,Strada,Sorbs2,,,,,,,,,
Ccnl1,Fem1a,,,,,,,,,,,,Oacyl,Rab11fip1,Lair1,Chmp5,,,,,,,,,
Mrps15,Wsb2,,,,,,,,,,,,0610038B21Rik,Myo19,Sell,Aacs,,,,,,,,,
Slc35a1,Vsig4,,,,,,,,,,,,Ankrd7,Pced1a,Pigs,Ap3d1,,,,,,,,,
Chic1,Cul4b,,,,,,,,,,,,A330076H08Rik,Cfap298,Ighmbp2,Taok3,,,,,,,,,
Ngdn,Inhbc,,,,,,,,,,,,Map3k7cl,Zdhhc13,Tpgs1,Zdhhc6,,,,,,,,,
Gpr89,Igsf11,,,,,,,,,,,,1700009J07Rik,Plekhm3,Trim34a,Prpf19,,,,,,,,,
Ngrn,Limd1,,,,,,,,,,,,Gm16287,Itpripl2,Marchf1,Bcl2l13,,,,,,,,,
Pi4k2a,Tln2,,,,,,,,,,,,Tas2r137,Thap1,Eya4,Cab39,,,,,,,,,
Thoc2l,Erg28,,,,,,,,,,,,A230057D06Rik,Rsbn1,Spry2,Sesn3,,,,,,,,,
Ppp1r14b,Brd4,,,,,,,,,,,,Zswim3,Mphosph9,H2-DMa,Il13ra1,,,,,,,,,
Aasdhppt,Hars1,,,,,,,,,,,,Klhl32,Carf,Fbxl6,Nit1,,,,,,,,,
Zbtb18,Tmem97,,,,,,,,,,,,1700027J07Rik,Dph5,Gins1,Adipor1,,,,,,,,,
Ngef,Nup50,,,,,,,,,,,,Or9a4,Exosc4,Fam187b,Ergic1,,,,,,,,,
Asxl1,Cdc27,,,,,,,,,,,,B230217O12Rik,Fundc1,Gsdme,Dek,,,,,,,,,
Zfp672,Sh3bgrl2,,,,,,,,,,,,Map6,Fam120c,Chchd6,Tmem94,,,,,,,,,
Casp8,Ptdss1,,,,,,,,,,,,ENSMUSG00000073420,Col6a5,Senp8,Pcbp1,,,,,,,,,
Srgn,Tmem147,,,,,,,,,,,,Cntfr,Slc29a3,Adnp,Mrpl51,,,,,,,,,
Ints4,Dcaf1,,,,,,,,,,,,Sult2b1|Gm5897,Tada1,Zswim1,Eif3m,,,,,,,,,
Dtymk,Atxn10,,,,,,,,,,,,Tafa3,Zfp597,Pik3ip1,Psmd4,,,,,,,,,
Nek1,Sorbs1,,,,,,,,,,,,Pilrb2,Morn2,Fam174b,Ewsr1,,,,,,,,,
Nt5dc1,Smcr8,,,,,,,,,,,,Gm6567,Dynlt1f,Osgin2,Selenoi,,,,,,,,,
Arpc1b,Ehmt1,,,,,,,,,,,,Rrm2,Sh3tc1,Gramd4,Rab2a,,,,,,,,,
Birc2,Mical3,,,,,,,,,,,,B3galt5,LTO1,Fut10,Ep400,,,,,,,,,
Nol11,Dock4,,,,,,,,,,,,Ptx3,Nkrf,Cbfa2t2,Hmox2,,,,,,,,,
2310030G06Rik,As3mt,,,,,,,,,,,,Entpd3,Mettl21a,Ctf1,Rnf10,,,,,,,,,
Ebag9,Bola3,,,,,,,,,,,,5330439B14Rik,Tex10,Phf8,Dnajb11,,,,,,,,,
Tcp11l2,Xpr1,,,,,,,,,,,,2610016A17Rik,C2cd5,Dnajc17,Mrpl30,,,,,,,,,
Dennd10,Cpsf1,,,,,,,,,,,,Mboat2,Tmem161b,Dennd6b,Zbtb44,,,,,,,,,
Pkhd1l1,Vps29,,,,,,,,,,,,1700048O20Rik,Gla,Slc37a2,Sbf2,,,,,,,,,
Stap1,Pcmtd2,,,,,,,,,,,,Gm16576,Rap1gap,Trp63,Atp1b1,,,,,,,,,
Nkapd1,Slc22a7,,,,,,,,,,,,Fosl1,Ccnq,Arhgap18,Tardbp,,,,,,,,,
Nectin2,Mapkap1,,,,,,,,,,,,Kdm8,Rnd1,Kctd15,Adhfe1,,,,,,,,,
Pfdn2,Ckap5,,,,,,,,,,,,Tmem132b,Dlgap4,Ltbp3,Slc17a3,,,,,,,,,
Fhip1b,Aurkaip1,,,,,,,,,,,,Scube2,Gpaa1,2210039B01Rik,Ahcyl1,,,,,,,,,
Mis12,Emg1,,,,,,,,,,,,Tafa5,Slc35c1,Vps9d1,Arih1,,,,,,,,,
Aebp1,Nacc2,,,,,,,,,,,,Duox1,Zfp280c,ENSMUSG00000077323,Washc2,,,,,,,,,
Fgf2,Chn2,,,,,,,,,,,,Nkx6-1,Marveld2,Arhgap4,C2,,,,,,,,,
Cdk16,Cdc123,,,,,,,,,,,,Eqtn,Zfp747,Pard6a,Nars1,,,,,,,,,
Cramp1,Cops3,,,,,,,,,,,,En1,Tbl3,Taf4b,Ago2,,,,,,,,,
Patj,Mtmr6,,,,,,,,,,,,Smgc,Ocrl,Adrb2,Sorbs1,,,,,,,,,
Tasp1,Glce,,,,,,,,,,,,Spata31e2,Lin37,Usp49,Mif,,,,,,,,,
Slc16a6,Klc4,,,,,,,,,,,,Aldh3b1,Sdhaf1,Sec14l5,Cpq,,,,,,,,,
Rtf1,Gid4,,,,,,,,,,,,Dleu7,Jag1,ENSMUSG00000083022,Septin9,,,,,,,,,
H4c16,Ube2f,,,,,,,,,,,,Inafm1,Papss1,Dph7,Eif4g3,,,,,,,,,
Eif4a3,Sipa1l1,,,,,,,,,,,,Rgs7bp,Rpp25l,Tm6sf1,Ufc1,,,,,,,,,
Acad12,Serinc5,,,,,,,,,,,,Xkr6,Dbndd2,Napb,As3mt,,,,,,,,,
Sirt7,Fam168a,,,,,,,,,,,,ENSMUSG00000097893,Pithd1,Kirrel1,Nf1,,,,,,,,,
Fndc1,Pole4,,,,,,,,,,,,H4c2,Scarf1,0610040B10Rik,Bola3,,,,,,,,,
Cmc1,Fbxw11,,,,,,,,,,,,Sorbs2os,Rab13,Skp2,Kdm2a,,,,,,,,,
Zfp386,Tial1,,,,,,,,,,,,Fez1,Sf3b5,9530082P21Rik,Esr1,,,,,,,,,
Zfp931,Raly,,,,,,,,,,,,Cga,Gtf2ird1,Dck,Strap,,,,,,,,,
Nop14,Cd55,,,,,,,,,,,,Prss16,Gpatch11,Cd300a,Pkd1,,,,,,,,,
Ampd2,Mrtfb,,,,,,,,,,,,Pcdhga5,Kdm6b,Hps5,Ppp6r1,,,,,,,,,
Smurf1,Fdx1,,,,,,,,,,,,Emx2os,AW146154,Heyl,Hif1a,,,,,,,,,
Flcn,Tmem70,,,,,,,,,,,,Sema7a,Ap5z1,Sac3d1,Cldn3,,,,,,,,,
Scaper,Mpv17,,,,,,,,,,,,Wnt3a,Cimip3,Jam3,Emg1,,,,,,,,,
Atp10d,Fgfr1op2,,,,,,,,,,,,Cdc25b,Rpia,Atp8b4,Kank1,,,,,,,,,
Tnni1,Mrpl28,,,,,,,,,,,,Tpbg,Commd4,Ptgr1,Parp14,,,,,,,,,
Osgep,Dctpp1,,,,,,,,,,,,Tsx,Zfp595,Rab2b,Celf1,,,,,,,,,
Pla2g12a,Tceal8,,,,,,,,,,,,A4galt,Tmem47,Peli3,Cops3,,,,,,,,,
Tm2d1,Pskh1,,,,,,,,,,,,Sbsn,Adamts7,Limk1,Atp6ap1,,,,,,,,,
Dmac2,Snrpd3,,,,,,,,,,,,Serpinb10,Ptpn14,Wdr76,Ubxn1,,,,,,,,,
2310002L09Rik,Slc25a30,,,,,,,,,,,,Birc5,Ppp1r16b,Zfp991,Nfia,,,,,,,,,
Ccdc82,Mat2a,,,,,,,,,,,,Pin1rt1,Mettl17,Nsg1,Higd1a,,,,,,,,,
Clcn2,Ubn2,,,,,,,,,,,,Slc26a10,Xrcc1,Nfatc2ip,Vegfa,,,,,,,,,
Ddx56,Rnpepl1,,,,,,,,,,,,Btbd17,Rabepk,Lrrn3,Hdac11,,,,,,,,,
Cks2,Tut4,,,,,,,,,,,,C130060C02Rik,Dohh,Slc7a7,Apol9a,,,,,,,,,
Yars1,Rap2c,,,,,,,,,,,,Tsbp1,Fcsk,Polg2,Chd1,,,,,,,,,
Zcchc2,Zfp655,,,,,,,,,,,,Wfikkn2,Ttc27,Gfra2,Septin2,,,,,,,,,
Alyref,Ube2n,,,,,,,,,,,,Tacstd2,Katna1,Rad1,Serinc5,,,,,,,,,
Frrs1,Kalrn,,,,,,,,,,,,Dclk2,Ptpn2,Dpep1,Psme2,,,,,,,,,
Trappc2l,Tcf12,,,,,,,,,,,,Gdnf,Mettl3,2900060B14Rik,Cert1,,,,,,,,,
Cpsf3,Cmtr1,,,,,,,,,,,,Oxct2b,Magix,Tnfsfm13,Fdx1,,,,,,,,,
Xpo5,Ppfia1,,,,,,,,,,,,Cdhr1,Serinc2,Asb15,Aamp,,,,,,,,,
Rnf121,Tmem167b,,,,,,,,,,,,Fbxo5,Wrap73,Armh4,Dusp16,,,,,,,,,
Ppp2r3c,Ttc7,,,,,,,,,,,,Dusp4,Cdkn2aip,Zbtb42,Szrd1,,,,,,,,,
Tada2b,Tent4b,,,,,,,,,,,,Pcnx2,Pycr3,Golm2,Tmx2,,,,,,,,,
Synpo2l,Jmjd8,,,,,,,,,,,,Rrh,Osmr,Stk35,Bsdc1,,,,,,,,,
Zfp131,Pex14,,,,,,,,,,,,D930028M14Rik,Ddhd1,Shf,Mpv17,,,,,,,,,
Slc4a1ap,Cnot2,,,,,,,,,,,,EU599041,Zmym3,Csf3r,Xylb,,,,,,,,,
Ggnbp1,Tmed9,,,,,,,,,,,,Fcer1a,Nicn1,Trib2,Mat2a,,,,,,,,,
Naga,Spp1,,,,,,,,,,,,ENSMUSG00000085603,Phf1,Cbx8,Rnpepl1,,,,,,,,,
Dvl3,Mrpl46,,,,,,,,,,,,Krt13,Zbp1,Tlr6,Psmd3,,,,,,,,,
Crcp,Bmi1,,,,,,,,,,,,Glod5,Slx4,Zfp593,Zfp655,,,,,,,,,
Ddx18,Nub1,,,,,,,,,,,,Gm13293,Pwp1,Impa2,Aqp8,,,,,,,,,
Zfp395,Vps37a,,,,,,,,,,,,Or5b21,Zxdb,Arhgap25,Cpd,,,,,,,,,
Bub3,Timm17a,,,,,,,,,,,,Matcap1,Rbpj,Dhrs13,Pls3,,,,,,,,,
Poglut3,Ctif,,,,,,,,,,,,Kit,Zc3h6,Plekhg1,Dnm1l,,,,,,,,,
Gnl3l,Car5a,,,,,,,,,,,,Cnga2,Ntpcr,Acvr2b,Eloa,,,,,,,,,
